id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,N/A,206,"['drama', 'romance', 'comedy']",['IN'],0,7.5,21123,6.314,6.5
tm55100,Dil Se..,MOVIE,1998,PG-13,163,"['drama', 'romance']",['IN'],0,7.5,28586,7.811,6.8
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"['comedy', 'documentation']",['US'],0,7.9,5879,5.822,7.6
ts22039,H,SHOW,1998,TV-MA,25,['comedy'],['FR'],4,7.4,1727,7.905,7.6
tm188606,Sankofa,MOVIE,1993,N/A,124,"['drama', 'european']","['DE', 'GH', 'GB', 'US', 'BF']",0,7,692,1.858,6.5
tm41525,Herod's Law,MOVIE,1999,R,123,"['comedy', 'crime', 'thriller']",['MX'],0,7.8,6035,10.506,7.9
tm189171,Wild Tango,MOVIE,1993,R,124,"['drama', 'music', 'romance']","['ES', 'AR']",0,6.7,1584,5.092,6.1
tm63514,The Last Days,MOVIE,1998,PG-13,87,"['drama', 'history', 'war', 'documentation']",['US'],0,7.9,4378,3.766,7.8
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,N/A,72,"['comedy', 'music', 'documentation']",['US'],0,6.6,276,0.656,6
tm188970,Bill Hicks: Revelations,MOVIE,1993,N/A,74,"['comedy', 'documentation']",['GB'],0,8.5,3098,3.784,8.1
tm12876,Bombay,MOVIE,1995,N/A,141,"['drama', 'romance']",['IN'],0,8.1,12629,4.99,7.2
ts224786,Escalona,SHOW,1991,TV-MA,44,['drama'],['CO'],1,,,7.352,7.6
tm62176,Mann,MOVIE,1999,N/A,174,"['drama', 'romance']",['IN'],0,6.1,5451,2.595,6.7
tm52871,Soldier,MOVIE,1998,N/A,156,"['thriller', 'action', 'drama', 'romance']",['IN'],0,6.2,3063,3.623,5.7
tm8687,Sam Kinison: Family Entertainment Hour,MOVIE,1991,N/A,49,['comedy'],['US'],0,,,1.84,6.1
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,N/A,56,"['comedy', 'documentation']",['US'],0,6.8,116,1.536,5.8
tm184326,Damini,MOVIE,1993,N/A,175,"['drama', 'crime']",['IN'],0,7.8,3523,3.328,7.3
tm62385,Hum Saath Saath Hain,MOVIE,1999,G,177,"['romance', 'family', 'fantasy', 'drama']",['IN'],0,6.2,8552,7.865,6
tm191614,Destiny,MOVIE,1997,N/A,136,"['drama', 'history', 'comedy', 'romance']","['FR', 'EG']",0,7.1,2857,3.287,6.7
tm110766,Chronicle of a Disappearance,MOVIE,1996,N/A,88,['drama'],"['PS', 'US', 'FR', 'DE']",0,6.9,733,2.099,6.7
